date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-06-28,175.0,240581.5,8.0,34716.0,21183.0,2377951.0,3979.0642783741173,574.1804564691627,39329.79002884266
2020-06-29,174.0,240755.5,22.0,34738.0,15484.0,2393435.0,3981.942127188083,574.5443224111583,39585.88549456361
2020-06-30,126.0,240881.5,6.0,34744.0,28471.0,2421906.0,3984.026086674058,574.6435585771571,40056.777641589004
2020-07-01,142.0,241023.5,23.0,34767.0,29325.0,2451231.0,3986.37467593603,575.0239638801526,40541.79440290823
2020-07-02,182.0,241205.5,21.0,34788.0,29147.0,2480378.0,3989.3848396379944,575.3712904611485,41023.867157969486
2020-07-03,201.0,241406.5,30.0,34818.0,25680.0,2506058.0,3992.709251198955,575.8674712911426,41448.59794844443
2020-07-04,223.0,241629.5,15.0,34833.0,28946.0,2535004.0,3996.3975287019107,576.1155617061396,41927.34629194473
2020-07-05,235.0,241864.5,21.0,34854.0,21166.0,2556170.0,4000.284278536865,576.4628882871355,42277.41840686656
2020-07-06,192.0,242056.5,7.0,34861.0,13771.0,2569941.0,4003.459835848827,576.5786638141341,42505.18194719485
2020-07-07,208.0,242264.5,8.0,34869.0,22490.0,2592431.0,4006.9000229367857,576.7109787021325,42877.15217608042
2020-07-08,137.0,242401.5,30.0,34899.0,28679.0,2621110.0,4009.165915393759,577.2071595321266,43351.48451019377
2020-07-09,193.0,242594.5,15.0,34914.0,29947.0,2651057.0,4012.3580120667207,577.4552499471237,43846.78875405487
2020-07-10,214.0,242808.5,12.0,34926.0,27251.0,2678308.0,4015.8974353206786,577.6537222791213,44297.502880660504
2020-07-11,276.0,243084.5,12.0,34938.0,25449.0,2703757.0,4020.462298956624,577.852194611119,44718.413078744496
2020-07-12,188.0,243272.5,7.0,34945.0,23061.0,2726818.0,4023.571698824587,577.9679701381176,45099.827282760954
2020-07-13,234.0,243506.5,9.0,34954.0,14006.0,2740824.0,4027.4419092985413,578.1168243871158,45331.477572924196
2020-07-14,169.0,243675.5,13.0,34967.0,24222.0,2765046.0,4030.237061307508,578.3318360801132,45732.09397506142
2020-07-15,114.0,243789.5,17.0,34984.0,28392.0,2793438.0,4032.1225484614856,578.6130052171098,46201.67951256783
2020-07-16,162.0,243951.5,13.0,34997.0,28089.0,2821527.0,4034.8019249434537,578.8280169101073,46666.2536236913
2020-07-17,230.0,244181.5,20.0,35017.0,28661.0,2850188.0,4038.6059779734082,579.1588041301034,47140.28824930665
2020-07-18,231.0,244412.5,11.0,35028.0,27569.0,2877757.0,4042.4265703643628,579.3407371011012,47596.26189271022
2020-07-19,249.0,244661.5,14.0,35042.0,20621.0,2898378.0,4046.544871253314,579.5722881550985,47937.32005588716
2020-07-20,218.0,244879.5,3.0,35045.0,14121.0,2912499.0,4050.150451951271,579.6219062380978,48170.87237256538
2020-07-21,190.0,245069.5,13.0,35058.0,23915.0,2936414.0,4053.2929305412335,579.8369179310953,48566.41119087567
2020-07-22,128.0,245197.5,15.0,35073.0,29288.0,2965702.0,4055.409968749208,580.0850083460923,49050.815995837904
2020-07-23,280.0,245477.5,9.0,35082.0,33018.0,2998720.0,4060.040989829153,580.2338625950906,49596.9126173294
2020-07-24,306.0,245783.5,10.0,35092.0,28970.0,3027690.0,4065.102034295093,580.3992562050886,50076.0579054937
2020-07-25,252.0,246035.5,5.0,35097.0,28059.0,3055749.0,4069.269953267043,580.4819530100876,50540.135835787165
2020-07-26,274.0,246309.5,5.0,35102.0,25177.0,3080926.0,4073.801738180989,580.5646498150867,50956.54732767921
2020-07-27,254.0,246563.5,5.0,35107.0,19374.0,3100300.0,4078.002735874939,580.6473466200856,51276.980907689394
2020-07-28,168.0,246731.5,5.0,35112.0,25341.0,3125641.0,4080.7813485229062,580.7300434250847,51696.1048547854
2020-07-29,202.0,246933.5,11.0,35123.0,30875.0,3156516.0,4084.1222994448663,580.9119763960825,52206.757625654325
2020-07-30,288.0,247221.5,6.0,35129.0,33396.0,3189912.0,4088.8856354128097,581.0112125620814,52759.10612560374
2020-07-31,382.0,247603.5,3.0,35132.0,29686.0,3219598.0,4095.2036713147345,581.0608306450807,53250.093596243896
2020-08-01,379.0,247982.5,9.0,35141.0,31905.0,3251503.0,4101.47208913366,581.2096848940789,53777.78190894261
2020-08-02,295.0,248277.5,5.0,35146.0,24496.0,3275999.0,4106.351200628602,581.292381699078,54182.93009599379
2020-08-03,238.0,248515.5,8.0,35154.0,13467.0,3289466.0,4110.287568546555,581.4246965870764,54405.665670578135
2020-08-04,159.0,248674.5,12.0,35166.0,23491.0,3312957.0,4112.917326945523,581.623168919074,54794.19179982451
2020-08-05,190.0,248864.5,5.0,35171.0,29739.0,3342696.0,4116.059805535486,581.7058657240731,55286.05585659765
2020-08-06,384.0,249248.5,10.0,35181.0,32169.0,3374865.0,4122.41092015941,581.871259334071,55818.11056060032
2020-08-07,401.0,249649.5,6.0,35187.0,30392.0,3405257.0,4129.0432039203315,581.9704955000699,56320.77482010633
2020-08-08,552.0,250201.5,3.0,35190.0,26631.0,3431888.0,4138.172931192223,582.0201135830694,56761.23454289209
2020-08-09,347.0,250548.5,13.0,35203.0,22773.0,3454661.0,4143.912089459154,582.2351252760667,57137.8854109406
2020-08-10,463.0,251011.5,2.0,35205.0,10904.0,3465565.0,4151.569813602063,582.2682039980664,57318.230603282456
2020-08-11,259.0,251270.5,4.0,35209.0,22063.0,3487628.0,4155.853508101012,582.3343614420655,57683.13852502111
2020-08-12,412.0,251682.5,6.0,35215.0,27330.0,3514958.0,4162.667724832931,582.4335976080644,58135.15926114572
2020-08-13,476.0,252158.5,10.0,35225.0,25629.0,3540587.0,4170.540460668837,582.5989912180625,58559.046544209676
2020-08-14,522.0,252680.5,6.0,35231.0,24868.0,3565455.0,4179.174007110734,582.6982273840613,58970.34737355278
2020-08-15,574.0,253254.5,3.0,35234.0,25937.0,3591392.0,4188.667600324621,582.7478454670606,59399.32877980467
2020-08-16,629.0,253883.5,158.0,35392.0,22470.0,3613862.0,4199.0708583934975,585.3610645050295,59770.96822147025
2020-08-17,477.0,254360.5,4.0,35396.0,21379.0,3635241.0,4206.9601335904035,585.4272219490288,60124.56322028504
2020-08-18,320.0,254680.5,4.0,35400.0,32687.0,3667928.0,4212.252729110341,585.4933793930279,60665.1853132856
2020-08-19,401.0,255081.5,5.0,35405.0,41290.0,3709218.0,4218.885012871261,585.576076198027,61348.09552896747
2020-08-20,642.0,255723.5,7.0,35412.0,49662.0,3758880.0,4229.503282633135,585.6918517250256,62169.473274939686
2020-08-21,840.0,256563.5,6.0,35418.0,44943.0,3803823.0,4243.3963458729695,585.7910878910244,62912.80177635384
2020-08-22,947.0,257510.5,9.0,35427.0,46613.0,3850436.0,4259.059120739783,585.9399421400226,63683.75101063765
2020-08-23,1071.0,258581.5,3.0,35430.0,47463.0,3897899.0,4276.7727763705725,585.9895602230221,64468.75870177131
2020-08-24,1209.0,259790.5,7.0,35437.0,33358.0,3931257.0,4296.768863819334,586.1053357500207,65020.47870600274
2020-08-25,953.0,260743.5,4.0,35441.0,45798.0,3977055.0,4312.530874852147,586.1714931940198,65777.94836107171
2020-08-26,876.0,261619.5,4.0,35445.0,58054.0,4035109.0,4327.019355087974,586.2376506380191,66738.12442455428
2020-08-27,1366.0,262985.5,13.0,35458.0,57640.0,4092749.0,4349.612122213704,586.4526623310165,67691.45319258294
2020-08-28,1409.0,264394.5,5.0,35463.0,65135.0,4157884.0,4372.916081862428,586.5353591360156,68768.74447130511
2020-08-29,1460.0,265854.5,9.0,35472.0,64294.0,4222178.0,4397.0635489221395,586.6842133850138,69832.12614742643
2020-08-30,1444.0,267298.5,1.0,35473.0,53541.0,4275719.0,4420.946386205856,586.7007527460136,70717.6600747169
2020-08-31,1365.0,268663.5,4.0,35477.0,42583.0,4318302.0,4443.5226139705865,586.7669101900128,71421.95568417151
2020-09-01,996.0,269659.5,6.0,35483.0,54395.0,4372697.0,4459.99581752639,586.8661463560117,72321.6142257558
2020-09-02,975.0,270634.5,8.0,35491.0,,,4476.121694501198,586.9984612440101,
2020-09-03,1326.0,271960.5,6.0,35497.0,,,4498.052887186937,587.0976974100089,
